Index,Local_Time,Segment_Name,Actual_Speed(mph),Historical_Speed(mph),Segment_Length(mile)
1,12/14/2010 7:00,I-10 WB at Wirt Road/Chimney Rock Road,62,65,1.12951878
2,12/14/2010 7:05,I-10 WB at Wirt Road/Chimney Rock Road,62,65,1.12951878
3,12/14/2010 7:10,I-10 WB at Wirt Road/Chimney Rock Road,62,65,1.12951878
4,12/14/2010 7:15,I-10 WB at Wirt Road/Chimney Rock Road,61,65,1.12951878
5,12/14/2010 7:20,I-10 WB at Wirt Road/Chimney Rock Road,61,65,1.12951878
6,12/14/2010 7:25,I-10 WB at Wirt Road/Chimney Rock Road,61,63,1.12951878
7,12/14/2010 7:30,I-10 WB at Wirt Road/Chimney Rock Road,61,63,1.12951878
8,12/14/2010 7:35,I-10 WB at Wirt Road/Chimney Rock Road,61,63,1.12951878
9,12/14/2010 7:40,I-10 WB at Wirt Road/Chimney Rock Road,41,63,1.12951878
10,12/14/2010 7:45,I-10 WB at Wirt Road/Chimney Rock Road,42,63,1.12951878
11,12/14/2010 7:50,I-10 WB at Wirt Road/Chimney Rock Road,41,63,1.12951878
12,12/14/2010 7:55,I-10 WB at Wirt Road/Chimney Rock Road,44,60,1.12951878
13,12/14/2010 8:00,I-10 WB at Wirt Road/Chimney Rock Road,40,61,1.12951878
14,12/14/2010 8:05,I-10 WB at Wirt Road/Chimney Rock Road,36,59,1.12951878
15,12/14/2010 8:10,I-10 WB at Wirt Road/Chimney Rock Road,32,59,1.12951878
16,12/14/2010 8:15,I-10 WB at Wirt Road/Chimney Rock Road,29,59,1.12951878
17,12/14/2010 8:20,I-10 WB at Wirt Road/Chimney Rock Road,36,59,1.12951878
18,12/14/2010 8:25,I-10 WB at Wirt Road/Chimney Rock Road,44,58,1.12951878
19,12/14/2010 8:30,I-10 WB at Wirt Road/Chimney Rock Road,44,59,1.12951878
20,12/14/2010 8:35,I-10 WB at Wirt Road/Chimney Rock Road,45,58,1.12951878
21,12/14/2010 8:40,I-10 WB at Wirt Road/Chimney Rock Road,51,58,1.12951878
22,12/14/2010 8:45,I-10 WB at Wirt Road/Chimney Rock Road,51,58,1.12951878
23,12/14/2010 8:50,I-10 WB at Wirt Road/Chimney Rock Road,51,58,1.12951878
24,12/14/2010 8:55,I-10 WB at Wirt Road/Chimney Rock Road,52,59,1.12951878
25,12/14/2010 16:00,I-10 WB at Wirt Road/Chimney Rock Road,58,58,1.12951878
26,12/14/2010 16:05,I-10 WB at Wirt Road/Chimney Rock Road,58,58,1.12951878
27,12/14/2010 16:10,I-10 WB at Wirt Road/Chimney Rock Road,58,58,1.12951878
28,12/14/2010 16:15,I-10 WB at Wirt Road/Chimney Rock Road,55,55,1.12951878
29,12/14/2010 16:20,I-10 WB at Wirt Road/Chimney Rock Road,55,55,1.12951878
30,12/14/2010 16:25,I-10 WB at Wirt Road/Chimney Rock Road,55,55,1.12951878
31,12/14/2010 16:30,I-10 WB at Wirt Road/Chimney Rock Road,51,51,1.12951878
32,12/14/2010 16:35,I-10 WB at Wirt Road/Chimney Rock Road,51,51,1.12951878
33,12/14/2010 16:40,I-10 WB at Wirt Road/Chimney Rock Road,51,51,1.12951878
34,12/14/2010 16:45,I-10 WB at Wirt Road/Chimney Rock Road,46,55,1.12951878
35,12/14/2010 16:50,I-10 WB at Wirt Road/Chimney Rock Road,46,55,1.12951878
36,12/14/2010 16:55,I-10 WB at Wirt Road/Chimney Rock Road,46,55,1.12951878
